full_date,weekday,time,mood
2021-04-18,Sunday,12:28,fine I’m fine 
2021-04-17,Saturday,22:42,fine I’m fine 
2021-04-17,Saturday,13:16,fine I’m fine 
2021-04-16,Friday,16:01,fine I’m fine 
2021-04-16,Friday,16:00,meh
2021-04-15,Thursday,15:51,irritated
2021-04-14,Wednesday,13:21,fine I’m fine 
2021-04-13,Tuesday,15:32,meh
2021-04-12,Monday,14:24,sick
2021-04-11,Sunday,22:28,excited
2021-04-11,Sunday,12:16,in love
2021-04-10,Saturday,15:51,fine I’m fine 
2021-04-09,Friday,13:54,fine I’m fine 
2021-04-08,Thursday,22:23,fine I’m fine 
2021-04-07,Wednesday,21:00,anxious
2021-04-07,Wednesday,16:11,meh
2021-04-07,Wednesday,16:11,fine I’m fine 
2021-04-06,Tuesday,14:07,fine I’m fine 
2021-04-05,Monday,13:37,fine I’m fine 
2021-04-04,Sunday,12:05,sick
2021-04-03,Saturday,23:52,in love
2021-04-03,Saturday,17:06,excited
2021-04-03,Saturday,16:19,fine I’m fine 
2021-04-02,Friday,16:58,fine I’m fine 
2021-04-01,Thursday,17:55,fine I’m fine 
2021-04-01,Thursday,00:03,little tears
2021-03-31,Wednesday,17:57,calm happy
2021-03-31,Wednesday,10:04,fine I’m fine 
2021-03-30,Tuesday,10:04,fine I’m fine 
2021-03-30,Tuesday,10:04,meh
2021-03-29,Monday,22:37,irritated
2021-03-29,Monday,20:06,calm happy
2021-03-28,Sunday,16:42,fine I’m fine 
2021-03-27,Saturday,13:15,fine I’m fine 
2021-03-26,Friday,22:34,fine I’m fine 
2021-03-26,Friday,13:42,fine I’m fine 
2021-03-25,Thursday,22:42,fine I’m fine 
2021-03-25,Thursday,22:42,irritated
2021-03-24,Wednesday,16:22,fine I’m fine 
2021-03-23,Tuesday,10:51,fine I’m fine 
2021-03-22,Monday,22:24,meh
2021-03-22,Monday,19:46,bad
2021-03-21,Sunday,18:08,fine I’m fine 
2021-03-21,Sunday,11:22,meh
